Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
ITAIPÉ,3132305,itaipeense,ALEXSANDER RODRIGUES BATISTA,480.829,12910,24.54,95.3,552,16.48,2635678673,2710123937,705085
ITAJUBÁ,3132404,Itajubense,CHRISTIAN GONÇALVES TIBURZIO E SILVA,294.835,97782,307.49,98.1,787,09.09,23158079042,2191634014,3105296
ITAMARANDIBA,3132503,itamarandibano,LUIZ FERNANDO ALVES,2.735.573,35130,11.76,97.3,646,7.26,7788981422,5944880447,1480082
ITAMARATI DE MINAS,3132602,tamaratiense,HAMILTON DE MOURA FILHO,94.568,4395,43.13,97.5,688,-,1586711428,1289759618,1364598
ITAMBACURI,3132701,itambacuriense,JOVANI FERREIRA DOS SANTOS,1.419.209,23207,16.07,98.2,634,17.18,5148332629,4832043469,1167065
ITAMBÉ DO MATO DENTRO,3132800,itambeense,CLEIDILENY APARECIDA CHAVES,380.340,2032,6.00,97.4,634,-,1255151784,1027091302,1174577
ITAMOGI,3132909,itamogiense,RONALDO PEREIRA DIAS,243.714,10122,42.47,96.8,674,14.6,2864703534,2376635981,1807515
ITAMONTE,3133006,itamontense,ALEXANDRE AUGUSTO MOREIRA SANTOS,431.792,15844,32.43,98.5,705,5.78,4090026317,376435371,5610559
ITANHANDU,3133105,itanhanduense,CARLOS GONÇALVES DA FONSECA,143.363,15511,98.87,97.3,739,-,4743828877,436111745,2641106
ITANHOMI,3133204,itanhomense,RAIMUNDO FRANCISCO PENAFORTE,488.843,12259,24.25,97.5,650,28.17,2707581304,2546261238,948602
ITAOBIM,3133303,itaobinhense,FABIANO FERNANDES SILVA RIBEIRO,679.024,20997,30.93,98.7,629,04.05,4189316719,380362574,1280343
ITAPAGIPE,3133402,itapagipense,RICARDO GARCIA DA SILVA,1.802.438,15511,7.58,97,723,17.86,5434896495,4712600663,2716103
ITAPECERICA,3133501,itapecericano,WIRLEY RODRIGUES REIS,1.040.519,21760,20.54,97.9,713,5.43,3919720207,3716871115,2219609
ITAPEVA,3133600,itapevense,DANIEL PEREIRA DO COUTO,177.347,9976,48.85,98,720,21.28,384906144,328417908,5306375
ITATIAIUÇU,3133709,itatiaiuçuense,ADÉLCIO ROSA DE MORAIS,295.145,11354,33.64,96.7,677,23.26,6479652374,5740978972,14031070
ITAÚ DE MINAS,3133758,itauense,NORIVAL FRANCISCO DE LIMA,153.421,16286,97.41,98.9,776,12.66,5252100672,4658118923,2842516
ITAÚNA,3133808,itaunense,NEIDER MOREIRA DE FARIA,495.769,94455,172.38,98.2,758,8.32,26771307173,23698934221,3350585
ITAVERAVA,3133907,itaveravense,JOSÉ FLAVIANO PINTO,284.220,5321,20.40,97.3,627,20.83,144109387,125071699,911724
ITINGA,3134004,itinguense,JOAO BOSCO VERSIANI GUSMAO CORDEIRO,1.649.622,15053,8.73,96.8,600,29.63,2998441148,2583162879,821584
ITUETA,3134103,ituetano,VALTER JOSÉ NICOLI,452.676,6074,12.88,98.3,635,-,1833064367,166161952,1174100
ITUIUTABA,3134202,ituiutabano,LEANDRA GUEDES FERREIRA,2.598.046,105818,37.40,98.1,739,11.64,31779553323,28937526093,2661514
ITUMIRIM,3134301,itumirinense,CARLOS ALBERTO NASCIMENTO,234.802,5978,26.15,98.5,726,-,1414320133,1376413925,985910
ITURAMA,3134400,ituramense,CLAUDIO TOMAZ DE FREITAS,1.404.663,40101,24.53,98.8,747,13.44,13002287357,12801718667,5536921
ITUTINGA,3134509,itutinguense,RODINELI ANTÔNIO DO NASCIMENTO,372.018,3749,10.52,99.4,727,45.45,1755818773,1523785104,3046533
JABOTICATUBAS,3134608,jaboticatubense,ENEIMAR ADRIANO MARQUES,1.114.972,20683,15.37,98.2,681,10.58,4456076807,4204222684,1107098
JACINTO,3134707,jacintense,VALDENIR PEREIRA DA SILVA JUNIOR,1.393.609,12320,8.71,97.7,620,18.52,2656919607,2557351077,840183
JACUÍ,3134806,jacuiense,MARIA CONCEICAO DOS REIS PEREIRA,409.229,7695,18.33,97.9,668,29.7,2076843251,1845307886,1491907
JACUTINGA,3134905,jacutinguense,MELQUIADES DE ARAUJO,347.667,26538,65.48,94.5,715,5.8,6768114995,6179873042,2697033
JAGUARAÇU,3135001,jaguaraçuense,MARCIO LIMA DE PAULA,163.760,3151,18.26,99.1,679,-,1556687376,1237871073,2288869
JAÍBA,3135050,jaibense,REGINALDO ANTONIO DA SILVA,2.635.467,39850,12.79,97.4,638,14.02,6963137915,622049094,1385417
JAMPRUCA,3135076,jampruquense,POLLIANE DE CASTRO NUNES BASTOS,517.095,5453,9.80,97.7,609,-,1537840735,139096993,1015022
JANAÚBA,3135100,janaubense,JOSÉ APARECIDO MENDES SANTOS,2.181.319,72374,30.63,98.5,696,12.4,18115026897,17974224621,1576125
JANUÁRIA,3135209,januarense,MAURICIO ALMEIDA DO NASCIMENTO,6.661.588,67958,9.83,96.4,658,13.14,10595582067,9939048226,1016262
JAPARAÍBA,3135308,japaraíbano,ROBERTO EMILIO LOPES,172.141,4418,22.88,99.7,721,40,1794528094,1442065046,1670769
JAPONVAR,3135357,japonvaense,WELSON GONÇALVES DA SILVA,375.181,7991,22.11,97.8,608,9.26,2081277953,1868804748,699851
JECEABA,3135407,jeceabense,JOSE DONIZETE ALMEIDA MAIA,236.250,4795,22.84,98.4,661,-,5189162844,4722222235,20445711
JENIPAPO DE MINAS,3135456,jenipapense,CARLOS JOSÉ DE JESUS SENA,284.453,7781,25.02,99.1,624,-,1724207642,1578132774,927363
JEQUERI,3135506,jequeriense,ADILSON LOPES SILVA,547.897,12246,23.45,94.9,601,12.9,3220950574,305833829,1116125
JEQUITAÍ,3135605,jequitaiense,ELDIMA CALDEIRA BENFICA,1.268.443,7407,6.31,97.9,643,27.4,1840186219,1589362633,1030060
JEQUITIBÁ,3135704,jequitibaense,LUIZ CARLOS PINHEIRO,445.030,5203,11.59,96.7,689,-,1773177131,1629336317,1729947
JEQUITINHONHA,3135803,jequitinhonhense,NILO BARBUDA SOUTO,3.514.216,25555,6.87,96,615,10.53,5407614674,4847980927,901066
JESUÂNIA,3135902,jesuanense,JOSÉ LAÉRCIO BRANDÃO DE CASTRO,153.852,4774,30.99,97.1,658,-,1532958104,1293294787,1278158
JOAÍMA,3136009,joaimense,DAURO BARRETO MELO FILHO,1.664.190,15476,8.98,95.3,587,10.58,3482688302,3189274494,873599
JOANÉSIA,3136108,joanense,AIKEN CRISTIAN ANDRADE DIAS,233.292,4382,23.25,98.6,626,52.63,1666714349,1422481155,1723090
JOÃO MONLEVADE,3136207,monlevadense,LAÉRCIO JOSÉ RIBEIRO,99.158,80903,742.35,98.4,758,8.38,20791568,188260932,3681498
JOÃO PINHEIRO,3136306,pinheirense,EDMAR XAVIER MACIEL,10.727.097,47990,4.22,94.9,697,10.94,11901100817,10007465829,3018666
JOAQUIM FELÍCIO,3136405,feliciano,MIGUEL FELIPE FERREIRA DE OLIVEIRA,790.935,4757,5.44,97.5,637,-,1636423483,142312904,944279
JORDÂNIA,3136504,jordainense,MARQUES UEL MEIRA DE OLIVEIRA,546.705,10872,18.88,97.4,628,18.18,2035642858,1889332589,840743
JOSÉ GONÇALVES DE MINAS,3136520,gonçalvense,MARIA GOMES MOTOSO ROCHA,381.332,4474,11.94,99.2,632,-,1771872258,1430781091,990782
JOSÉ RAYDAN,3136553,josé raydanense,PAULO PEIXOTO DO AMARAL,180.822,5104,24.20,99,617,85.11,1458973942,121823491,1043541
JOSENÓPOLIS,3136579,josenopolense,DANIEL PATRICK RIBEIRO QUEIROZ,541.393,4911,8.43,96.1,564,-,1617974491,1424263977,766451
NOVA UNIÃO,3136603,nova-uniense,AILTON ANTONIO GUIMARÃES ROSA,172.131,5739,32.27,98.6,662,10.87,1610341514,1634672458,1498342
JUATUBA,3136652,juatubense,ANTÔNIO ADÔNIS PEREIRA,97.172,27823,223.04,98.8,717,12.25,11449568383,9449277575,4549480
JUIZ DE FORA,3136702,juiz-forano,MARIA MARGARIDA MARTINS SALOMÃO,1.435.749,577532,359.59,98.3,778,12.23,157826799129,157185367931,2998891
JURAMENTO,3136801,juramentense,MARLENE DE LOURDES SILVEIRA MOREIRA,431.630,4359,9.53,99.1,669,-,1562904356,1360466511,894826
JURUAIA,3136900,juruaiense,ÁLVARO MARIANO JÚNIOR,220.353,10795,41.92,95.5,723,7.63,3083015013,2318567457,1467337
JUVENÍLIA,3136959,juveniliense,ROMULO MARINHO CARNEIRO,1.064.692,5706,5.36,96.7,592,17.86,1706521875,1452488641,890864
LADAINHA,3137007,ladainhense,KALID NEDIR MAIKEL,866.290,18272,19.62,91.9,541,22.94,344888196,3354299468,657088
LAGAMAR,3137106,lagamarense,AURO JOSE PEREIRA,1.474.562,7588,5.15,99.3,718,-,2130755795,1891569034,2187522
LAGOA DA PRATA,3137205,lago-pratense,DI GIANNE DE OLIVEIRA NUNES,439.984,53236,104.51,99.1,732,12.07,10998546838,9217861074,3510805
LAGOA DOS PATOS,3137304,lagoa-patense,HERCULES VANDY DURÃES DA FONSECA,600.547,4062,07.04,98.9,634,41.67,1519480901,1435339494,1011743
LAGOA DOURADA,3137403,lagoense,RONALD PEREIRA DUTRA,476.693,13115,25.71,98.9,676,-,3201610321,2678770248,1714818
LAGOA FORMOSA,3137502,lagoense,EDSON MACHADO DE ANDRADE,840.920,18168,20.41,98.7,703,9.66,6020400339,5475289869,1914532
LAGOA GRANDE,3137536,lagoa grandense,EDSON SABINO DE LIMA,1.236.301,9681,6.98,97.2,679,10.2,2496681014,2220978794,2538096
LAGOA SANTA,3137601,lagoa-santense,ROGÉRIO CESAR DE MATOS AVELAR,229.409,66744,229.08,97,777,6.21,19634960492,17260094202,2601835
LAJINHA,3137700,lajinhense,JOÃO ROSENDO AMBRÓSIO DE MEDEIROS,431.920,19914,45.40,98.2,661,19.89,4237050218,3726146148,1723956
LAMBARI,3137809,lambariense,MARCELO GIOVANI DE SOUSA,213.110,20995,91.76,97.6,711,9.71,5347654489,4726416571,1549400
LAMIM,3137908,laminense,MARCO ANTONIO DE ASSIS,118.602,3366,29.11,100,655,-,1339484134,1244624771,1222729
LARANJAL,3138005,laranjalense,FERNANDO GONÇALVES DOS SANTOS,204.882,6856,31.55,98.3,714,26.32,1789065658,1466650776,1142929
LASSANCE,3138104,lassancense,PAULO ELIAS RODRIGUES,3.204.217,6494,02.02,96.4,629,12.35,2334190616,19713372,1938114
LAVRAS,3138203,lavrense,JUSSARA MENICUCCI DE OLIVEIRA,564.744,105756,163.26,98.6,782,10.3,26570558166,23248678856,2545879
LEANDRO FERREIRA,3138302,leandrense,ELDER CORREA DE FREITAS,352.005,3222,9.10,97.7,710,-,1533135552,142016257,1241830
LEME DO PRADO,3138351,lemepradense,JOSEANY CORDEIRO SANTOS,280.036,4923,17.15,99.8,670,54.05,185265473,1626156272,1013751
LEOPOLDINA,3138401,leopoldinense,PEDRO AUGUSTO JUNQUEIRA FERRAZ,943.077,52690,54.22,98.1,726,9.84,9894263714,9240427242,1930012
LIBERDADE,3138500,libertense,WALTER DE ASSIS TOLEDO JUNIOR,401.337,4994,13.32,98,672,24.39,1748687217,1577619181,1415229
LIMA DUARTE,3138609,limaduartino,ELENICE PEREIRA DELGADO SANTELLI,848.564,16749,19.03,98.5,710,-,3830950625,3436221861,1659650
LIMEIRA DO OESTE,3138625,limeirense,ENEDINO PEREIRA FILHO,1.317.153,7640,5.22,98.9,710,-,3390768174,2969248944,5210189
LONTRA,3138658,lontrense,DERNIVAL MENDES DOS REIS,258.925,9766,32.44,97.9,646,9.26,2022454505,1745581452,770526
LUISBURGO,3138674,luisburguense,OTENIDES DOS SANTOS HOTT PRAÇA,145.418,6249,42.87,94.9,608,17.7,1813079176,1809097979,1288042
LUISLÂNDIA,3138682,luislandense,JUVENAL ALVES DOS SANTOS,411.714,6735,15.54,98,614,-,1553981874,1502660019,716563
LUMINÁRIAS,3138708,luminarense,ECIO CARVALHO REZENDE,500.143,5431,10.84,99.3,678,17.86,1644407106,1444792522,1661024
LUZ,3138807,luzense,AGOSTINHO CARLOS OLIVEIRA,1.171.659,18297,14.92,99,724,16.04,5034492473,4487604142,2770042
MACHACALIS,3138906,machacalisense,MAURO ROBERTO FRANCISCO BATISTA,332.378,7112,20.99,96.7,640,11.9,1731217972,1628306862,1151216
MACHADO,3139003,machadense,MAYCON WILLIAN DA SILVA,585.958,42682,66.03,96.2,715,8.53,9306099636,8318707587,2525466
MADRE DE DEUS DE MINAS,3139102,madre-deusense,OSMAR DE OLIVEIRA,492.909,5119,9.95,98.4,699,39.22,1651115205,128002427,3208037
MALACACHETA,3139201,malacachetense,HERMES ADALTO GOMES DA CUNHA,727.886,18556,25.80,95.9,618,9.26,3817163185,3728734814,1036192
MAMONAS,3139250,mamonense,VALDECI CUSTODIO JORGE,284.365,6565,21.69,98.5,618,35.71,191302334,1466757145,732117
MANGA,3139300,manguense,ANASTÁCIO GUEDES SARAIVA,1.950.184,18051,10.16,96.4,642,10.31,4395003224,4060633981,1045797
MANHUAÇU,3139409,manhuaçuense,MARIA IMACULADA DUTRA DORNELAS,628.318,92074,126.65,97.4,689,10.2,19569987439,17203347875,2344680
MANHUMIRIM,3139508,manhumiriense,SÉRGIO BOREL CORRÊA,182.900,22894,116.91,96.7,697,10.42,5126458721,4856568105,2086913
MANTENA,3139607,mantenense,JOÃO RUFINO SOBRINHO,685.208,27651,39.57,96.6,675,8.88,7088815823,653810505,1417587
MARAVILHAS,3139706,maravilhense,DIOVANE POLICARPO DE CASTRO,261.604,8113,27.38,98.3,672,11.63,1969067137,1799143372,1779936
MAR DE ESPANHA,3139805,mar-de-espanhense,FRANCISCO DE ASSIS DE JESUS FURTADO,371.600,12985,31.62,98.4,684,6.37,2537683941,2246394221,1344649
MARIA DA FÉ,3139904,mariense,ADILSON DOS SANTOS,202.898,14019,70.06,98.9,702,17.34,3287777215,306674118,1173160
MARIANA,3140001,marianense,DUARTE EUSTÁQUIO GONÇALVES JUNIOR,1.194.208,61830,45.40,98,742,9.14,30915877084,25782234328,4578696
MARILAC,3140100,marilaquense,EDMILSON VALADÃO DE OLIVEIRA,158.809,4079,26.57,98.7,615,16.67,1751782802,1616777995,1007614
MÁRIO CAMPOS,3140159,mario-campense,ANDERSON FERREIRA ALVES,35.196,15814,374.82,98.5,699,19.7,3277010762,4241215011,1024691
MARIPÁ DE MINAS,3140209,maripaense,VAGNER FONSECA COSTA,77.338,3000,36.05,95.6,680,-,1397650751,1268484307,1852395
MARLIÉRIA,3140308,marlierense,HAMILTON LIMA PAULA,545.813,4030,7.35,98.7,657,18.52,1849534418,1657622336,1065076
MARMELÓPOLIS,3140407,marmelopolense,CAMILO ALBERTO RIBEIRO DA SILVA,107.902,2701,27.51,99.3,650,22.22,1232405628,111403715,1161285
MARTINHO CAMPOS,3140506,martinho-campense,WILSON CORREA ALVES AFONSO DE CARVALHO,1.058.418,13497,12.03,98.1,669,21.9,3518025354,2713481626,2503820
MARTINS SOARES,3140530,martinsoarense,FERNANDO ALMEIDA DE ANDRADE,113.268,8640,63.33,96.7,635,-,1887772417,1602782821,2400332
MATA VERDE,3140555,mataverdense,IRONE BENTO DIAS OLIVEIRA,227.539,8700,34.61,96.8,581,38.46,1813602541,1696789797,798525
MATERLÂNDIA,3140605,materlandiense,JOVENTINO MARIA FERREIRA,280.530,4415,16.38,97.9,597,-,1535683948,1285831982,973465
MATEUS LEME,3140704,mateus-lemense,RENILTON RIBEIRO COELHO,301.383,31631,92.02,96.9,704,16.55,7081529745,636059643,2265053
MATIAS BARBOSA,3140803,matiense,CARLOS ROBERTO MENDES LOPES,157.066,14626,85.51,98.1,720,12.82,5005188718,409794155,3687708
MATIAS CARDOSO,3140852,matiense,MAURELIO SANTOS PEREIRA,1.940.598,11360,5.12,96.9,616,8.2,2923344351,2619189361,1040035
MATIPÓ,3140902,matipoense,FÁBIO HENRIQUE GARDINGO,266.990,19098,66.07,97.7,631,3.89,3900481498,3618337818,2017973
MATO VERDE,3141009,mato-verdense,OSCAR LISANDRO TEIXEIRA,472.245,12367,26.86,97.2,662,-,3029436843,2667012742,1000934
MATOZINHOS,3141108,matozinhense,ZÉLIA ALVES PEZZINI,252.453,38469,134.59,99.2,731,6.16,8049970281,2143267077,2720992
MATUTINA,3141207,matutinense,GILBERTO ERNANE DE LIMA,260.957,3733,14.41,95.4,707,31.25,149758653,1179528844,1825477
MEDEIROS,3141306,medeirense,FRANCISCO MARTINS RIBEIRO,946.437,3861,3.64,99.8,711,-,1738584284,1447438752,3311975
MEDINA,3141405,medinense,EVALDO LUCIO PEIXOTO SENA,1.435.903,20701,14.64,95.9,624,24.1,4095727783,3999581265,1013573
MENDES PIMENTEL,3141504,pimentelense,PAULO ANTONIO DE SOUZA,305.507,6446,20.72,98.1,626,20,1730498813,1577558984,868981
MERCÊS,3141603,mercesano,WANDERLUCIO BARBOSA,348.271,10775,29.77,97.9,664,38.96,2738994856,2465417868,1111841
MESQUITA,3141702,mesquitense,RONALDO DE OLIVEIRA,274.938,5489,22.07,98,656,-,1612719712,1352548611,808572
MINAS NOVAS,3141801,minas-novense,AECIO GUEDES SOARES,1.812.398,31509,16.99,97.1,633,14.49,511109278,4465737182,947624
MINDURI,3141900,mindurense,EDMIR GERALDO SILVA,219.774,3891,17.47,96.5,658,-,171456616,1512766714,1780002
MIRABELA,3142007,mirabelense,LUCIANO RABELO VELOSO,723.278,13651,18.03,98.7,665,-,301355141,2690549461,932397
MIRADOURO,3142106,miradourense,CLOVES DA SILVA BOTELHO,301.672,10818,33.98,98.3,663,-,2614719237,2240144509,1206250
MIRAÍ,3142205,miraiense,ADAELSON DE ALMEIDA MAGALHÃES,320.695,15205,43.06,98.2,680,20.13,3194106678,3003748782,1697453
MIRAVÂNIA,3142254,miravaniense,ELZIO MOTA DOURADO,602.128,4939,7.55,96,593,-,1662326859,1441862102,771863
MOEDA,3142304,moedense,DÉCIO VANDERLEI DOS SANTOS,155.112,4948,30.23,99.2,638,71.43,159247981,1336218999,1182780
MOEMA,3142403,moemense,ALAELSON ANTONIO DE OLIVEIRA,202.705,7589,34.67,97.7,721,-,1995594622,1757957619,1504217
MONJOLOS,3142502,monjolense,GERALDO EUSTÁQUIO MAIA DA SILVA,650.911,2184,3.63,97.4,650,-,1359914336,1123074292,1256870
MONSENHOR PAULO,3142601,paulense,LETÍCIA APARECIDA BELATO MARTINS,216.540,8764,37.69,99.2,721,15.63,2181653351,2329405297,2036808
MONTALVÂNIA,3142700,montalvanense,FREDSON LOPES FRANCA,1.503.755,14621,10.55,96.2,613,15.63,3008523098,2465720733,874165
MONTE ALEGRE DE MINAS,3142809,monte-alegrense,ULTIMO BITENCOURT DE FREITAS,2.595.957,21349,7.56,94.5,674,18.18,7126764262,6417195104,2523022
MONTE AZUL,3142908,monte-azulense,PAULO DIAS MOREIRA,1.001.296,20544,22.12,98.3,659,30.7,3807029941,353405161,923180
MONTE BELO,3143005,monte-belano,KLEBER ANTÕNIO FERREIRA BONELI,421.283,13139,31.00,98.2,688,14.81,3404811105,2890942199,1997602
MONTE CARMELO,3143104,carmelitano,PAULO RODRIGUES ROCHA,1.343.035,48049,34.08,98.4,728,13.47,1102401879,9322707346,2365449
MONTE FORMOSO,3143153,monte formosense,JOSE GOMES DA SILVA,385.553,4939,12.08,97.7,541,12.05,1433517171,1368672977,704953
MONTE SANTO DE MINAS,3143203,monte-santense,CARLOS EDUARDO DONNABELLA,594.632,21504,35.71,98.3,710,12.45,4880160968,4334251696,1877747
MONTES CLAROS,3143302,montes-clarense,HUMBERTO GUIMARÃES SOUTO,3.589.811,417478,101.41,98.4,770,9.99,69254364705,55870119738,2332368
MONTE SIÃO,3143401,monte-sionense,JOSE POCAI JUNIOR,291.594,24247,72.71,95.9,724,15.46,6004316592,5258148169,1744669
MONTEZUMA,3143450,montesumense,IVAN VIEIRA DE PINHO,1.130.419,8379,6.60,97.1,587,14.08,1854733151,1783825004,841077
MORADA NOVA DE MINAS,3143500,moradense,HERMANO ALVARES FRANCISCO DE MOURA,2.084.275,8955,3.96,97.8,696,11.63,3202440207,3445262418,3528753
MORRO DA GARÇA,3143609,morrense,MARCIO TULIO LEITE ROCHA,414.772,2413,6.41,96.6,648,-,1880566788,1610092941,1869873
MORRO DO PILAR,3143708,morrense,JOSE DE MATOS VIEIRA NETO,477.548,3126,7.12,96.5,597,57.14,1551767203,1224428546,1013722
MUNHOZ,3143807,munhozense,DORIVAL AMÂNCIO FROES,191.564,5960,32.66,97.4,647,-,1675876595,1530207971,1468270
MURIAÉ,3143906,muriaense,JOSÉ BRAZ,841.693,109997,119.72,97.3,734,13.16,29806676074,25334149921,1988440
MUTUM,3144003,mutuense,PAULO ANTONIO ALVES,1.250.824,26945,21.31,94.9,644,8.31,5007105152,4769857094,1400507
MUZAMBINHO,3144102,muzambinhense,PAULO SERGIO MAGALHÃES,409.948,20522,49.84,97.8,740,11.41,5056729393,4332847855,1896857
NACIP RAYDAN,3144201,nacipense,EDUARDO ANTONIO DE OLIVEIRA,233.493,3221,13.51,94.4,585,-,1271773937,1071590956,888273
NANUQUE,3144300,nanuquense,GILSON COLETA BARBOSA,1.518.166,40583,26.90,97.4,701,23.16,8303796854,7869516317,1731935
NAQUE,3144359,naquense,FERNANDO DA COSTA SILVA,127.173,7104,49.86,98.9,675,8.47,1719712705,1541331317,1070892
NATALÂNDIA,3144375,natalandense,GERALDO MAGELA GOMES,468.660,3306,7.00,99.8,671,81.08,1479839495,1218998316,1382579
NATÉRCIA,3144409,naterciano,GABRIEL TIAGO DE VILAS BOAS,188.719,4727,24.68,98.6,693,-,1615863586,1409693384,1592142
NAZARENO,3144508,nazarenense,JOSÉ HEITOR GUIMARÃES DE CARVALHO,341.453,8710,24.17,98.8,690,27.4,2668430887,2235151818,3632895
NEPOMUCENO,3144607,nepomucenense,LUIZA MARIA LIMA MENEZES,582.553,26882,44.17,96.1,667,-,5448337272,46563047,1712286
NINHEIRA,3144656,ninheirense,WAGNER ANTUNES SPOSITO,1.108.255,10355,8.86,97.4,556,8.85,2353300077,2135399311,829537
NOVA BELÉM,3144672,belenense,VALDECI DORNELAS,146.775,3067,25.43,96.7,592,-,1642272658,1823796744,1265351
NOVA ERA,3144706,nova-erense,TXAI SILVA COSTA,361.926,17524,48.43,99.6,709,10.47,4722520946,4118459971,1956484
NOVA LIMA,3144805,nova-limense,JOÃO MARCELO DIEGUEZ PEREIRA,429.313,97378,188.73,98.3,813,9.21,54629376594,46883876526,11156261
NOVA MÓDICA,3144904,neomodicano,WALTER JUNIOR LADEIA BORBOREMA,375.973,3548,10.08,96.5,630,30.3,1539937898,79593314,1205621
NOVA PONTE,3145000,nova-pontense,LINDON CARLOS RESENDE DA CRUZ,1.111.011,16046,11.53,96.6,701,9.39,6769703241,5377743834,7462035
NOVA PORTEIRINHA,3145059,novaporteirinhense,REGINA ANTONIA DE SOUZA FREITAS,120.943,7493,61.17,98.3,641,-,189846714,1643321647,1406263
NOVA RESENDE,3145109,resendense,JOSE ROBERTO RODRIGUES,390.152,16937,39.41,95.2,671,17.94,4607113114,3778005063,1655789
NOVA SERRANA,3145208,nova-serranense,EUZEBIO RODRIGUES LAGO,282.472,108241,261.00,97.2,715,7.66,20106333033,18080243018,2373499
NOVO CRUZEIRO,3145307,novo-cruzeirense,MILTON COELHO DE OLIVEIRA,1.702.981,31339,18.04,95.7,571,22.84,6033208934,6083693997,753117
NOVO ORIENTE DE MINAS,3145356,novo orientense,NORMANDES DA COSTA JARDIM,755.151,10800,13.69,96.3,555,-,2325356477,2070611881,864184
NOVORIZONTE,3145372,novorizontino,CLEBER NASCIMENTO DE PINHO,271.610,5348,18.25,96.8,616,21.74,1599915421,1489667613,974135
OLARIA,3145406,olariense,LUIZ ENEIAS DE OLIVEIRA,178.242,1694,11.09,97.1,636,-,1397778506,111517387,1361002
OLHOS-D'ÁGUA,3145455,olhos-d'aguense,RONE DOUGLAS DIAS,2.092.078,6243,2.52,97.4,626,24.39,1854811947,1590213164,2609128
OLÍMPIO NORONHA,3145505,olímpio-noroense,MARIO DOUGLAS OLIVEIRA DIAS,54.633,2829,46.36,98.4,674,-,161177452,1362680668,1216787
OLIVEIRA,3145604,oliveirense,CRISTINE LASMAR DE MOURA RESENDE,897.294,41987,43.98,95.2,699,11.34,1084863917,10271886799,2064357
OLIVEIRA FORTES,3145703,oliveira-fortense,ANTONIO CARLOS DE OLIVEIRA,111.130,2128,19.10,94.2,635,-,1241468296,1037516444,1454975
ONÇA DE PITANGUI,3145802,oncense,GUMERCINDO PEREIRA,246.976,3155,12.37,97.4,663,38.46,1566073305,1413818876,1633980
ORATÓRIOS,3145851,oratoriense,CARLOS JOSÉ DE OLIVEIRA,89.068,4671,50.44,98.7,637,78.43,171684387,1440028988,1090308
ORIZÂNIA,3145877,orizanense,JONIA LEITE FILHO,121.800,8138,59.80,96.7,562,09.09,1880071425,1604096658,1075473
OURO BRANCO,3145901,ouro-branquense,HELIO MARCIO CAMPOS,258.726,40220,136.31,98.9,764,10.89,12123830704,10648089749,10416926
OURO FINO,3146008,ouro-finense,HENRIQUE ROSSI WOLF,533.714,33938,59.15,95.8,722,-,7216371372,6310099215,2128430
OURO PRETO,3146107,ouro-pretano,ANGELO OSWALDO DE ARAUJO SANTOS,1.245.865,74824,56.41,98.8,741,11.72,29017535181,27864891651,9231975
OURO VERDE DE MINAS,3146206,ouro-verdense,MARCELO ADRIANO XAVIER DE VASCONCELOS,175.482,5895,34.28,96.6,595,-,1501170808,1411286555,822369
PADRE CARVALHO,3146255,padre carvaliense,JOSE NILSON BISPO DE SA,446.275,6466,13.07,92.2,599,-,1724358758,1482067604,873961
PADRE PARAÍSO,3146305,padre-paraisense,DIEGO FERDINANDO MENDES OLIVEIRA,544.375,20346,34.63,94.8,596,4.18,4190666212,3719175296,860578
PAINEIRAS,3146404,paineirense,AFRANIO ALVES MENDONÇA NETO,637.309,4440,7.27,98.2,669,-,17156232,1594928886,1317996
PAINS,3146503,painense,MARCO AURÉLIO RABELO GOMES,421.862,8308,19.00,99.2,728,18.87,3492223437,3241619304,3467855
PAI PEDRO,3146552,paipedrense,JOAQUIM RODRIGUES JUNIOR,839.805,6098,07.07,95.4,590,17.54,188146635,1880768599,732337
PAIVA,3146602,paivense,BRUNO VIEIRA DE PAULA,58.419,1517,26.67,99.5,720,-,1162677764,996689123,1539933
PALMA,3146701,palmense,HIRAM VINICIUS MENDONÇA FINAMORE,316.476,6606,20.68,96.4,703,17.86,1676882963,1589132659,1102476
PALMÓPOLIS,3146750,palmopolense,MARCELO FERNANDES DE ALMEIDA,433.154,5196,16.00,96.3,565,-,1699021507,1421017949,864579
PAPAGAIOS,3146909,papagaiense,MÁRIO REIS FILGUEIRAS,553.577,15922,25.61,96.9,666,11.9,3612782706,3250571008,1668748
PARACATU,3147006,paracatuense,IGOR PEREIRA DOS SANTOS,8.231.029,94539,10.29,97.1,744,20.03,29979047787,24864186121,4662949
PARÁ DE MINAS,3147105,pará-minense,ELIAS DINIZ,551.247,95616,152.77,99.1,725,8.97,2279076051,19596172034,3108070
PARAGUAÇU,3147204,paraguaçuense,GABRIEL PEREIRA DE MORAES FILHO,424.296,21693,47.71,99.4,715,-,5194749542,4868036758,2191221
PARAISÓPOLIS,3147303,paraisopolense,EVERTON DE ASSIS FERREIRA,331.238,21353,58.50,95.1,729,10.15,4591118582,410279773,2342167
PARAOPEBA,3147402,paraopebense,JOSÉ VALADARES BAHIA,625.623,24854,36.06,98.8,694,17.49,6037475511,5158108686,3066871
