Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
BOM REPOUSO,3107901,bom-repousense,EDMILSON ANDRADE,229.845,10527,45.50,95.1,653,6.71,2653184317,2361350095,1175122
BOM SUCESSO,3108008,bom-sucessense,PORFÍRIO ROBERTO DA SILVA,705.046,17612,24.46,97.9,692,19.35,4714274645,3991268388,1603821
BONFIM,3108107,bonfinense,GUSTAVO MARQUES RIBEIRO,301.865,6852,22.59,98.5,637,-,190958715,1988769415,1305570
BONFINÓPOLIS DE MINAS,3108206,bonfinopolitano,MANOEL DA COSTA LIMA,1.850.487,5397,3.17,97.7,678,-,2396645551,2056700615,3515924
BONITO DE MINAS,3108255,bonitense,VANIA CARNEIRO DE CARVALHO,3.936.455,11502,2.48,93,537,17.86,27769795,2567739103,661531
BORDA DA MATA,3108305,borda-matense,AFONSO RAIMUNDO DE SOUZA,301.108,19809,56.85,96.8,730,6.76,4071749628,3653447766,1583766
BOTELHOS,3108404,botelhense,EDUARDO JOSE ALVES DE OLIVEIRA,334.089,14927,44.66,96.7,702,21.74,3183718283,2517878022,1524262
BOTUMIRIM,3108503,botumiriense,ANA PEREIRA NETA,1.568.884,6259,4.14,96.5,602,16.39,1592806577,1469846347,855461
BRASILÂNDIA DE MINAS,3108552,brasilandense,OSEIAS CARDOSO QUEIROZ,2.509.694,16950,5.67,97.5,674,14.71,3249059713,2770308892,1595654
BRASÍLIA DE MINAS,3108602,brasilminense,MARCUS VINICIUS FERREIRA CARVALHO,1.399.484,32460,22.30,96.8,656,14.49,8359588232,7702427104,956425
BRÁS PIRES,3108701,brás-pirense,DOMINGOS RIVELLI TEIXEIRA NOGUEIRA,223.351,4255,20.76,97.4,625,-,1414371678,1302009058,817340
BRAÚNAS,3108800,braunense,JOVANI DUARTE MENEZES,378.318,4737,13.30,98.3,624,33.9,1785334942,1481836598,4807054
BRAZÓPOLIS,3108909,brazopolense,CARLOS ALBERTO MORAIS,367.688,14364,39.87,98.4,692,6.67,3249253198,2651858354,1172962
BRUMADINHO,3109006,brumadinhense,AVIMAR DE MELO BARCELOS,639.434,41208,53.13,98.4,747,17.2,17554355034,16540105391,6538146
